userName,score,at,content
Win Manurung,1,2025-10-14 07:12:24,"Pendaftaran sulit di persulit , ga usah klen kerja longor kalau ini aja klen persulit"
Saefudin,5,2025-10-14 05:37:22,aja kelalen maca...
LilyWo 75,1,2025-10-14 03:23:36,"gak ada gunanya anggaran negara di website dan aplikasi djp ini. gak membantu, bertele-tele, gak solutif. kemarin menkeu perempuan itu apa guna dia menjabat kalau sistemnya begini? ohiya, millennial ya kau, gak ngerti teknologi tapi asal jadi kuning biru."
Ni Ketut Maryati,5,2025-10-14 02:25:49,sangat bagus
Khoirul Mahmudah,1,2025-10-13 23:49:26,uda 5x buat bagian alamat muter2 terus njiss amat. iya kalo buat verifikasi ga pake pulsaa. kasih bintang 1 pun masih kebagusan
Fajar Nur Faizi,1,2025-10-13 08:30:18,Aplikasi dari pemerintah gk ada yg bener selalu eror
Dewenyoman Putrawidana,3,2025-10-13 06:03:53,4t p0p
Winda_Tisa Channel,5,2025-10-13 04:10:06,pelayanan djp Cengkareng ramah
Nena Abdul,5,2025-10-12 05:57:27,sangat bagus maksih yh
remember jack?,1,2025-10-11 17:57:44,DIKASIH ANGGARAN TETEP AJA BIKIN APLIKASI SAMA WEBSITE BURUK GAJELAS KUALITAS RENDAH EMANG HOBI KORUPSI PEJABAT INDO HAMA
manusia biasa,5,2025-10-11 13:28:04,top
